JTRACK Title	|Bills list
	|?
	|aba jounral of labor and employment law
Academe	|academe: bulletin of the aaup
The Academy of Management Executive (1993)	|academy of management executive
African Journal of Reproductive Health / La Revue Africaine de la Santé Reproductive	|african journal of reproductive health
	|aleph: historical studies in science and judaism
American Literature	|amerian literature
	|american journal of psychotherapy
	|american medical association
	|american school and university
	|american school board journal
	|americas (not americas)
Americas	|americas, the
	|an anthology of iranian studies
Annales de géographie	|annales de geographie: bulletin de la societe de geographie
	|annales d'economie et de statistique
Annales. Histoire, Sciences Sociales	|annales, histoire, sciences sociales
	|annals of economic and social measurement
	|annals of the american academy of political and social sciences
	|annee politique economique et sociale
Annuaire historique pour l'année ...	|annuaire bulletin de la societe de l'histoire de france
Annual Report (Harvard University Art Museums)	|annual report harvard university art museums
	|annual report of u.s. department of health education and welfare
	|architectural review
	|archiv für die civilstische praxis
	|archives
Archives of American Art Journal	|archives of american art
Art Journal (1929-)	|art journal
Artibus Asiae. Supplementum	|artibus asiae supplement
	|ballet review
	|barnard's journal of education
Béaloideas	|béaloideas: the journal of the folklore of ireland society
Before I Forget...: Journal of the Poyntzpass and District Local History Society	|"before i forget...": journal of the poyntzpass and district local history society
	|behavior research and therapy
	|behavior therapy
	|behavioral disorders
	|behavioral modification
	|behavioral science
	|biographical memoirs of the fellows of the royal society
Biology and Environment: Proceedings of the Royal Irish Academy	|biology and environment
Black Perspective in Music	|black perspectives in music
	|black scholar
	|blackwood's magazine
Bridges	|bridges: a jewish feminist journal
	|brit med j
	|british journal of clinical psychology
	|british journal of developmental psychology
	|british journal of social psychology
Buildings & Landscapes: Journal of the Vernacular Architecture Forum (prev. title Perspectives in Vernacular Architecture *see .info notes)	|buildings and landscapes: journal of the vernacular architecture forum
	|bulletin de la s.h.m.c
	|bulletin of the american mathematical society
Bulletin of the American Schools of Oriental Research. Supplementary Studies	|bulletin of the american schools of oriental research, supplementary studies
Bulletin of the Committee on Canadian Labour History / Bulletin du Comité sur l'Histoire Ouvrière Canadienne	|bulletin of the committee on canadian labour history
	|bulletin of the european communities
	|bulletin of the european union
Bulletin of the Operations Research Society of American	|bulletin of the operations research society of america
	|business law today
Cahiers d'ethnomusicologie (prev. title Cahiers de musiques traditionnelles* see notes)	|cahiers d?ethnomusicologie
	|cahiers d'etudes africaines
	|cahiers d'études africaines
	|cahiers du sud
Canadian Journal of African Studies / Revue Canadienne des Études Africaines	|canadian journal of african studies
Canadian Journal of Economics / Revue canadienne d'Economique	|canadian journal of economics
Canadian Journal of Education / Revue canadienne de l'education	|canadian journal of education
Canadian Journal of Political Science / Revue canadienne de science politique	|canadian journal of political science
Canadian Journal of Sociology / Cahiers Canadiens de Sociologie	|canadian journal of sociology
Canadian Journal of Statistics / La Revue Canadienne de Statistique	|canadian journal of statistics
Canadian Public Policy/Analyse de Politiques	|canadian public policy
Canadian Journal of Forest Research	|candadian journal of forest research
	|caribbean journal of education
	|child psychiatry and human development
	|child welfare
	|choice
	|choral journal
	|chronology of international events (and documents)
	|classica et mediaevalia
	|cognitive psychology
	|conor kenny
	|contemporary psychology
	|contemporary review
Contemporary Sociology	|contemporary sociology: a journal of reviews
	|criminal justice
Crítica: Revista Hispanoamericana de Filosofía	|crítica, revista hispanoamericana de filosofía
	|dance magazine
Dance Research: The Journal of the Society for Dance Research	|dance research
	|dance scope
Dante Studies, with the Annual Report of the Dante Society	|dante studies
	|demografia y economia
	|deutsch akademie fur sprachedn und dichtun
