10.2307/j100006|Brittonia
10.2307/j100014|Proceedings of the National Academy of Sciences of the United States of America
10.2307/j100631|Ekonomisk Tidskrift
10.2307/j100632|Vingtième Siècle. Revue d'histoire
10.2307/j100650|The Journal of Egyptian Archaeology
10.2307/j100692|Proceedings of the Royal Society of London
10.2307/j100704|European Journal of Epidemiology
10.2307/j100708|"Geografiska Annaler. Series A, Physical Geography"
10.2307/j100728|Tulsa Studies in Women's Literature
10.2307/j100168|Harvard Law Review
10.2307/j100171|Higher Education
10.2307/j100175|The Historical Journal
10.2307/j100180|Huntington Library Quarterly
10.2307/j100064|The American Journal of Nursing
10.2307/j100065|The American Journal of Philology
10.2307/j100066|The American Journal of Psychology
10.2307/j100069|The American Mathematical Monthly
10.2307/j100071|Transactions of the American Mathematical Society
10.2307/j100075|Journal of the American Oriental Society
10.2307/j100076|Proceedings of the American Philosophical Society
10.2307/j100080|American Sociological Review
10.2307/j100088|Archiv für Musikwissenschaft
10.2307/j100091|The Art Bulletin
10.2307/j100102|Biometrika
10.2307/j100105|Botanical Gazette
10.2307/j100107|British Journal of Educational Studies
10.2307/j100109|The British Journal of Sociology
10.2307/j100117|Canadian Journal of Political Science / Revue canadienne de science politique
10.2307/j100123|Classical Philology
10.2307/j100128|Columbia Law Review
10.2307/j100138|Ecology
10.2307/j100141|Economic Geography
10.2307/j100143|The Economic Journal
10.2307/j100144|Economica
10.2307/j100149|The Elementary School Journal
10.2307/j100195|The Jewish Quarterly Review
10.2307/j100200|The Journal of Aesthetics and Art Criticism
10.2307/j100246|The Journal of Philosophy
10.2307/j100247|The Journal of Political Economy
10.2307/j100016|Callaloo
10.2307/j100022|Lied und populäre Kultur / Song and Popular Culture
10.2307/j100026|The French Review
10.2307/j100029|Gesta
10.2307/j100031|Studia Musicologica Academiae Scientiarum Hungaricae
10.2307/j100042|Acta Musicologica
10.2307/j100045|Africa: Journal of the International African Institute
10.2307/j100051|Bulletin of the American Academy of Arts and Sciences
10.2307/j100052|Annals of the American Academy of Political and Social Science
10.2307/j100058|American Journal of Archaeology
10.2307/j100254|Journal of Social History
10.2307/j100256|The Journal of Symbolic Logic
10.2307/j100263|Law and Contemporary Problems
10.2307/j100268|Man
10.2307/j100273|Mathematics of Computation
10.2307/j100274|Medical Care
10.2307/j100283|Annals of the Missouri Botanical Garden
10.2307/j100287|The Modern Language Review
10.2307/j100321|Philosophy
10.2307/j100343|The Review of English Studies
10.2307/j100010|The American Historical Review
10.2307/j100021|Alif: Journal of Comparative Poetics
10.2307/j100027|Hebraica
10.2307/j100028|American Anthropologist
10.2307/j100039|Noûs
10.2307/j100799|Nineteenth-Century Literature
10.2307/j100823|Journal of the Royal Statistical Society
10.2307/j100851|Epidemiology
10.2307/j100908|Cell Stress &amp; Chaperones
10.2307/j100000|Science
10.2307/j100001|Ethos
10.2307/j100008|The Geographical Journal
10.2307/j100009|The American Economic Review
10.2307/j100025|"Philosophical Transactions of the Royal Society of London. Series A, Mathematical and Physical Sciences"
10.2307/j100030|The Burlington Magazine for Connoisseurs
10.2307/j100038|boundary 2
10.2307/j100423|Journal of International Business Studies
10.2307/j100451|Jahrbuch für Volksliedforschung
10.2307/j100455|Mammalian Species
10.2307/j100464|Transactions of the Royal Historical Society
10.2307/j100467|"Philosophical Transactions of the Royal Society of London. Series B, Biological Sciences"
10.2307/j100468|"Proceedings of the Royal Society of London. Series A, Mathematical and Physical Sciences"
10.2307/j100477|The Annals of Statistics
10.2307/j100496|Contemporary Sociology
10.2307/j100504|The Scientific Monthly
10.2307/j100552|October
10.2307/j100575|Theatre Journal
10.2307/j100581|American Journal of Education
10.2307/j100875|International Journal of Plant Sciences
10.2307/j100891|American Art
10.2307/j100915|"Philosophical Transactions: Mathematical, Physical and Engineering Sciences"
10.2307/j100351|Journal of the Royal Statistical Society. Series A (General)
10.2307/j100366|Monographs of the Society for Research in Child Development
10.2307/j100387|Taxon
10.2307/j100407|The Western Political Quarterly
10.2307/j100408|The William and Mary Quarterly
